ID_ISIN,Bloomberg,Yahoo,Industry
NL0010273215,ASML NA Equity,ASML.AS,Semiconductors
GB00B8C3BL03,SGE LN Equity,SGE.L,Software
GB00BQY7BX88,MCRO LN Equity,MCRO.L,Software
IM00B7S9G985,PTEC LN Equity,PTEC.L,Software
GB00BBG9VN75,AVV LN Equity,AVV.L,Software
GB0007590234,FDSA LN Equity,FDSA.L,Software
DE0007164600,SAP GY Equity,SAP.DE,Software
ES0109067019,AMS SM Equity,AMS.MC,Software
GB00B1N7Z094,SAFE LN Equity,SAFE.L,Storage/Warehousing
GB00BH4HKS39,VOD LN Equity,VOD.L,Telecommunications
GB0030913577,BT/A LN Equity,BT-A.L,Telecommunications
GB00B09LSH68,ISAT LN Equity,ISAT.L,Telecommunications
GB00B4YCDF59,TALK LN Equity,TALK.L,Telecommunications
GB00B1VNST91,LRD LN Equity,LRD.L,Telecommunications
GB0008794710,TEP LN Equity,TEP.L,Telecommunications
FR0000133308,ORA FP Equity,ORA.PA,Telecommunications
DE0005557508,DTE GY Equity,DTE.DE,Telecommunications
NL0000009082,KPN NA Equity,KPN.AS,Telecommunications
ES0178430E18,TEF SM Equity,TEF.MC,Telecommunications
GB00BDVZYZ77,RMG LN Equity,RMG.L,Transportation
GB0006215205,NEX LN Equity,NEX.L,Transportation
GB0003452173,FGP LN Equity,FGP.L,Transportation
GB0003753778,GOG LN Equity,GOG.L,Transportation
GB00B6YTLS95,SGC LN Equity,SGC.L,Transportation
GB0002018363,CKN LN Equity,CKN.L,Transportation
DE0005552004,DPW GY Equity,DPW.DE,Transportation
NL0009739424,TNTE NA Equity,TNTE.AS,Transportation
GB00B39J2M42,UU/ LN Equity,UU.L,Water
GB00B1FH8J72,SVT LN Equity,SVT.L,Water
GB00B18V8630,PNN LN Equity,PNN.L,Water
FR0000124141,VIE FP Equity,VIE.PA,Water
