Bloomberg,Yahoo,Industry,Name,Curncy,CcyAdj,TickerMultiplier
ANSS UW Equity,ANSS,Information Technology,ANSYS Inc,USD,1,1
NVDA UW Equity,NVDA,Information Technology,NVIDIA Corp,USD,1,1
SEE UN Equity,SEE,Materials,Sealed Air Corp,USD,1,1
CTSH UW Equity,CTSH,Information Technology,Cognizant Technology Solutions Corp,USD,1,1
SIVB UW Equity,SIVB,Financials,SVB Financial Group,USD,1,1
ISRG UW Equity,ISRG,Health Care,Intuitive Surgical Inc,USD,1,1
TTWO UW Equity,TTWO,Communication Services,Take-Two Interactive Software Inc,USD,1,1
RSG UN Equity,RSG,Industrials,Republic Services Inc,USD,1,1
EBAY UW Equity,EBAY,Consumer Discretionary,eBay Inc,USD,1,1
GS UN Equity,GS,Financials,Goldman Sachs Group Inc/The,USD,1,1
SBAC UW Equity,SBAC,Real Estate,SBA Communications Corp,USD,1,1
